objectNumber,briefDescription,objectName,title,material,objectProductionDate,objectProductionPerson,owner
39067,"Trade Deficit is a trio of sculptures situated along Broadway at Lawrence, Larimer and Blake, the most significant of which is located at Blake.  The sculptures are intended to create a literal and conceptual gateway for the industrial/residential neighborhood of River North, activating a main route into downtown Denver from the airport and beyond.<br/>As an artist who lives and works in the neighborhood, Riché chose to create this series of sculptures from the metal shipping containers that are commonplace in the area.  The colorful, bold artworks symbolize the history and bright future of River North, as well as Denver’s connection via commerce and culture to the rest of the world.","sculpture (visual work)","Trade Deficit",metal,2009,"Joseph Riche",DOCA
39073,"""Dominion"" is an episodic piece on a 200 ft long facade on the National Western Stock Show Building. The piece includes flocks of sheep, pigs, goats, various farmhands, cows, children, and men on horseback. The name ""Dominion"" comes from the biblical injunction for man to have dominion over the animals. This is a position of protection which we must have for the animals in our care.","bas-reliefs (sculpture)",Dominion,"copper (metal)",1992,"Evelyn Rosenberg",DOCA
39079,"""A rolling historical landscape"" of Colorado and the West is how artist Edward Ruscha describes his panoramic artwork for the Central Library. The work unfolds in epic fashion on 70 painted panels high above Schlessman Hall, and in the atriums on either side of the Hall. The complete artwork took more than two years to produce from concept to finished canvas. The piece consists of 70 paintings, 30 measuring 72 x 108"" and 40 measuring 72 x 30""","paintings (visual works)","A Rolling Historical Landscape",canvas,1996,"Edward J. Ruscha",DOCA
39085,"Situated in the canyon-like area next to the elevators in the Nature & Science’s parking garage, “Camarasaurus” and “Ceratosaurus” stage an unexpected prehistoric scene.  The artist created a long-necked Camarasaurus (approximately 60 feet long and 34 feet tall) rearing up on its hind legs in a defensive position after being startled by a smaller predatory Ceratosaurus (approximately 17 feet long) on a ledge nearby.  Camarasaurus’ head pops over the top of the parking garage structure, visible to people walking in and entering the museum. Each dinosaur sculpture is a full-scale model of what each creature might have looked like in life, drawn from Staab’s extensive knowledge of paleontology and his consultations with working scientists.  Also, both fossils were first discovered in in 1883 near Delta—giving them each a special connection to the state.  Both dinosaurs lived in the Late Jurassic Period, between 155 and 145 million years ago.","sculpture (visual work)","Camarasaurus and Ceratosaurus","plastic foam",2008,"Gary Staab",DOCA
39091,"The artwork features a forged steel entry gate and a series of slim, graceful wrought steel poles with abstracted garden images at the top.  Fruits, vegetables in various stages of development, and images of common garden tools remind viewers of the purpose of a community garden.  The story poles tell of movement and change, celebrating both the endless inventiveness of nature in a plant's cycle from seed to fruit and the human work and ingenuity involved in cultivating that transformation.  Story poles define the garden space and welcome viewers and gardeners from throughout the community. The work was not originally commissioned by the City of Denver, but was assumed into the collection from Stapleton.","sculpture (visual work)","Garden Stories","steel (alloy)",2009,"Lars Stanley","Arts & Venues Denver: Public Art Program"
39097,"Joseph Addison Thatcher was a very successful banker in Colorado's early history. He was President of First National Bank of Central City, from 1874 to 1880. In 1884 he founded Denver National Bank and served as president until 1913. He donated the ""Joseph Addison Thatcher Memorial Fountain"" to the City of Denver that can still be found at City Park.<br/>The sculptor was Lorado Zadoc Taft who to this day is best remembered for many of his fountains. The colossal central figure representing the state of Colorado is circled by three smaller figure groups representing the virtues of the state of Colorado: Loyalty, Learning and Love.","sculpture (visual work)","Joseph Addison Thatcher Memorial Fountain","bronze (metal)",1918,"Lorado Taft","Arts and Venues Denver: Public Art Program"
39103,"Five elements make up this sculpture next to the South Platte River near Denver's founding site. A book sculpture near a playground has quotes from the mid 1800s about miner's dreams, Native American visions and settler's pipe dreams.Then, there is a set of boulder chairs with womb-like and other niches. In the playground itself, three animals are assembled from river boulders with carefully mortised joints but with minimal carving. Viewers have to use their imaginations to complete the animals.","sculpture (visual work)","Visions Born by This River","stone (rock)",1997,"Robert Tully",DOCA
39109,"""Indeterminate Line"" is a large, elegant twenty-ton scribble depicting an oval that's been rendered organic and geometric at the same time. Venet, who was born in France, has lived for decades in New York, and his work has been installed throughout Europe and the United States. The sculpture was manufactured in Hungary, out of Cor-ten steel, where it was cut in pieces, shipped to Denver and reassembled. The artwork was sand-blasted and coated with a light acid, to promote a natural rusted patina.","sculpture (visual work)","Indeterminate Line",acid,2004,"Bernar Venet","Denver Office of Cultural Affairs"
39115,"“222.5° Arc x 5” is tightly geometric in form (unlike some of Venet’s other pieces) and is made of COR-TEN steel. The piece was donated to the City and County of Denver in 2007 by NBT Charitable Trust.","sculpture (visual work)","222.5° Arc x 5","Cor-Ten steel (TM)",2007,"Bernar Venet",DOCA
39121,"The sculpture was created as part of the June 1968 Denver Sculpture Symposium, in which nine artists took part. The symposium was sponsored by a non-profit organization ""Art For The Cities, Inc.,"" and the artists were paid moderate fees for their work, with materials donated by local and national sources. The sculptures were donated to the City in August of 1968. The sculptures were originally intended to only be temporary. Of nine of the original sculptures, four remain. The fiberglass was added in 1975 to protect the wood surface of the sculpture from further weathering.<br/>Mr. Verhelst says about his work, ""My career as a sculptor might best be characterized as a continuous search for non-objective personal imagery that reaches beyond that which is verbal and knowable. To somehow touch on an archetypal silent language that belongs and exists within the depths of our feelings.”","outdoor sculpture",Untitled,fiberglass,1968,"Wilbert Verhelst",DOCA
39127,"Recycled cardboard is California artist, Ann Weber's medium of choice. Transforming this humble material by casting it into bronze enables her to explore the idea of creating something from nothing, turning straw into gold.In these sculptures the shapes allude to the pinnacles and valleys of everyday life; the textured layers represent the strata of the surrounding mountains. Female and male elements suggest a contemporary re-examination of the complexity and beauty of modern relationships.","sculpture (visual work)",Promenade,"bronze (metal)",2006,"Ann Weber",DOCA
39133,"Keith White, and his team ‘Your Name in Graffiti’, works to expose Denver’s Globeville community to the positive aspects of graffiti art and self-expression, as well as respect for others and personal property.  “The New Worlds of Globeville Pool”, completed in 2008, is an aerosol mural that covers both the interior and exterior walls of the pool building. Exterior walls depict a stone wall with Aztec sculptures and motifs wrapping around the building. Murals inside the pool area depict whimsical ocean scenes.","mural paintings (visual works)","The New Worlds of the Globeville Pool",aerosol,2008,"Keith White, Your Name in Graffiti (YNIG)",
39161,"""Creekfront"" is a series of terracotta plaques, featuring the Creekfront logo, which are placed in pillars and bollards along the Cherry Creek Trail at Creekfront Park. The tiles are green-turquoise agate, with a stippled pattern under a fish.","sculpture (visual work)",Creekfront,"ceramic tile",1992,"Barry Rose"," "
39167,"In Barry Rose's words: ""At the Library"" was created with students at Cole Junior High School. Each student sculpted a library book. I filled in with enough to make the rest we needed. I made molds of each and glazed them uniquely, and that was the original project. When the new library was built, they wanted to move the book wall, but it couldn't be moved. The stone substrate was weaker than the epoxy holding the tiles on. They asked me to re-create it and I had the original molds.","sculpture (visual work)","At the Library","ceramic tile",1981,"Barry Rose",DOCA
39173,"""Old Courthouse Bell"" is a large steel bell mounted on a concrete platform. The bell is placed at the site of the old City Hall, which was constructed in 1883 and razed in 1936. The bell is the only existing relic from the old City Hall.","sculpture (visual work)","Old Courthouse Bell","steel (alloy)",1953,"Carol Candelaria Rothberg",DOCA
39179,"For ""Westwood Renaissance"" artist Daniel Salazar photographed the interior of the Colorado State Capitol dome and people from the Westwood neighborhood to create a photomural using the latest in digital photography and solar lighting technology.  The five foot square photomural is printed on translucent vinyl and mounted on the ceiling in the Westwood Community Center's lobby below a Solatube Skylight. ""Westwood Renaissance"" is a tribute to the early Italian Renaissance painter Andrea Mantegna, appropriating a portion of his ceiling frescoes from the Camera delgi Sposi in Pedua, Italy.""There is a timelessness to neighborhoods like Westwood that connect us with other times and places,"" said artist Daniel Salazar. ""It is this timelessness of community I wish to honor with this work.""",photographs,"Westwood Renaissance",vinyl,2008,"Daniel Salazar",DOCA
39185,"The Denver Office of Cultural Affairs commissioned twelve artists to each do an artwork for one of the Wellington E. Webb Municipal Building's elevator landings. The pieces are intended not only as a physical representation of the various layers of government and city planning but also as geological representation of our location at the entrance to the foot hills. Layer upon layer of geological history is uprooted and exposed as seen as you travel west of Denver on I-70. This visual informed the concept for the artworks in the elevator core. Each artist was asked to create a unique work that represented an important element of Denver and its place on this landscape.","sculpture (visual work)",Ascent,"stainless steel",2003,"Bill Starke",DOCA
39191_1,"The piece intersects the DIA landscape with the memory of its recent history. The materials used to establish this 1,000-foot linear gesture include an installed fence, fossil rocks from the excavation site, native cottonwood trees and historic artifacts. These artifacts are primarily agricultural implements collected and purchased from farmers who were relocated by the building of the airport. Porcelain enamel signs contain maps of the farmsteads, and birdhouses architecturally replicate some of the farmhouses that once existed at the site. This piece is seen when arriving at the airport along Piena Boulevard.","sculpture (visual work)","Pivot Emblem and Fenceline Artifact","mixed media",1994,"Sherry Wiggins",DOCA
39191_2,"The piece intersects the DIA landscape with the memory of its recent history. The materials used to establish this 1,000-foot linear gesture include an installed fence, fossil rocks from the excavation site, native cottonwood trees and historic artifacts. These artifacts are primarily agricultural implements collected and purchased from farmers who were relocated by the building of the airport. Porcelain enamel signs contain maps of the farmsteads, and birdhouses architecturally replicate some of the farmhouses that once existed at the site. This piece is seen when arriving at the airport along Piena Boulevard.","sculpture (visual work)","Pivot Emblem and Fenceline Artifact","mixed media",1994,"Sherry Wiggins",DOCA
39197,"Two interlocking wooden gateways are installed at the path to the library. One is aligned with the geological north south through Denver, and the other is oriented 19.3 degrees E with the magnetic north-south axis of Denver, to create a curious tension as one is arriving to the library.","sculpture (visual work)","Untitled Geomantic Artwork","wood (plant material)",1995,"Wang Po Shu",DOCA
39203,"“The Denver” is a sculpture designed in honor of an old steamboat called “The Denver.” In the summer of 1874, the boat carried passengers west by way of a canal from what is now Federal Boulevard to and across Sloan’s Lake to the then Grand View Hotel (later St. Luke’s Hospital) and back. The Denver is made of steel and bronze and consists of two pieces, a bow and stern, each of which include a recycled steering wheel, steam pipe and wave-like details.  The shovels atop the stern represent the shovels that were used to dig the canal.  The moon figure atop the bow represents the moonlit night the canal was completed.","sculpture (visual work)","The Denver","bronze (metal)",2005,"Kristine Smock",DOCA
39209_1,"Michael Singer's work for Concourse C, Denver International Airport, includes the design of a 5,000-square-foot interior garden with sculptural and architectural elements as well as a 7,000-square-foot inlaid granite stone pattern drawing for the floor below. The materials for the garden level include wood, stone, individually cast concrete panels and plant materials. The garden is visible from the floor above and the floor below, built between the two trafficked levels of the airport concourse. The walls of the garden space are fifteen feet high and constructed at an angle. Specially selected vines climb and weave through the patinated walls and over the ground plane and sculptural elements. A moss garden is placed at the northeast end of the space. Water from the irrigation system also wets the surfaces of the sculptural elements. Bird feeders are set into the trellis and help maintain the garden as a habitat for small birds.","earthworks (sculpture)","Untitled (Interior Garden)",concrete,1995,"Michael Singer","City and County of Denver, CO"
39209_2,"Michael Singer's work for Concourse C, Denver International Airport, includes the design of a 5,000-square-foot interior garden with sculptural and architectural elements as well as a 7,000-square-foot inlaid granite stone pattern drawing for the floor below. The materials for the garden level include wood, stone, individually cast concrete panels and plant materials. The garden is visible from the floor above and the floor below, built between the two trafficked levels of the airport concourse. The walls of the garden space are fifteen feet high and constructed at an angle. Specially selected vines climb and weave through the patinated walls and over the ground plane and sculptural elements. A moss garden is placed at the northeast end of the space. Water from the irrigation system also wets the surfaces of the sculptural elements. Bird feeders are set into the trellis and help maintain the garden as a habitat for small birds.","earthworks (sculpture)","Untitled (Interior Garden)",concrete,1995,"Michael Singer","City and County of Denver, CO"
39215,"The artwork echoes the atmosphere of the recreation center and creates an interaction of shape, color and light. The contemporary sculpture medium of cold casting glass is an innovative approach to public art material. The color elements in the artwork create unique visual movements that uplift the spirit and draw on the imagination. Her work will be installed in the lobby atrium and in the pool area of the recreation center. Shan Shan Sheng, a nationally known sculptor based in California, was awarded the commission for this project in 2003. She is able to produce works that are monumental in both size and scope. Shan Shan has earned her M.A. in Fine Arts from the University of Massachusetts, a certificate in Art with distinction from the Mount Holyoke College, and a B.A. in Fine Arts from the Art Department of Shanghai College of Drama. She primarily creates commissioned art for private, public, and corporate collections.","sculpture (visual work)","Swimming under the Trees & Autumn Leaves",wire,2004,"Shan Shan Sheng",DOCA
39221,"""Come On In!"" consists of an array of backlit photographs in the vestibule of the Washington Park Recreation Center entryway. These photos are held together by lines of light that wind their way to the inside door and shoot into the lobby. The lines of light constantly change color. The photos at the doorway symbolize all of the different kinds of activities that people engage in while at the Recreation Center. The photos are connected by the lines of light that leap into space. The connectivity and motion graphically show the life, exuberance, energy, and community spirit inherent in the Center. The photos and the lines of constantly changing colored light both figuratively and graphically state that there is no barrier to race, color, gender, or age.",photographs,"Come On In!","lighting device components",1991,"Jim Sale",DOCA
39227,"The Denver Office of Cultural Affairs commissioned twelve artists to each do an artwork for one of the Wellington E. Webb Municipal Building's elevator landings. The pieces are intended not only as a physical representation of the various layers of government and city planning but also as geological representation of our location at the entrance to the foot hills. Layer upon layer of geological history is uprooted and exposed as seen as you travel west of Denver on I-70. This visual informed the concept for the artworks in the elevator core. Each artist was asked to create a unique work that represented an important element of Denver and its place on this landscape.""Grand Poobah and Office Fairy Cut Through Red Tape"" show a bureaucrat at his desk with a pixie and a few greenbacks. The piece suggests that city hall sees the occasional backroom deal.",photographs,"Grand Poobah and Office Fairy Cut Through Red Tape","mixed media",2003,"Daniel Salazar",DOCA
39233_1,"""Deep Time/Deep Space, a Subterranean Journey"" is a mile-long light and sculpture installation sited in the inbound train tunnel. The work is inspired by Colorado's industrial and social history and transforms the tunnel with images drawn from related environments including a mineshaft, a cave and deep space. Train riders experience animated sculptural forms from miners' pickaxes to hovering satellites. Made of more than 5,000 feet of conduit, strips of reflective sheeting, construction materials, steel shapes and light; the highly sophisticated sequence of lighting effects is controlled by an industrial computer and sensor system traditionally used to automate factory assembly lines.","sculpture (visual work)","Deep Time/Deep Space, a Subterranean Journey","mixed media",1994,"Leni Schwendinger",DOCA
39233_2,"""Deep Time/Deep Space, a Subterranean Journey"" is a mile-long light and sculpture installation sited in the inbound train tunnel. The work is inspired by Colorado's industrial and social history and transforms the tunnel with images drawn from related environments including a mineshaft, a cave and deep space. Train riders experience animated sculptural forms from miners' pickaxes to hovering satellites. Made of more than 5,000 feet of conduit, strips of reflective sheeting, construction materials, steel shapes and light; the highly sophisticated sequence of lighting effects is controlled by an industrial computer and sensor system traditionally used to automate factory assembly lines.","sculpture (visual work)","Deep Time/Deep Space, a Subterranean Journey","mixed media",1994,"Leni Schwendinger",DOCA
39239,"""First Round"" is a wooden bench suspended between two sculptures that depict goofy golfers teeing off. One of the golfers says 'joy' while the other says 'smile'.","sculpture (visual work)","First Round",paint,1994,"Joe Sam",DOCA
39245_1,"One hundred and forty airplanes suspended from the ceiling greet travelers as they arrive in Jeppesen Terminal from the train. The planes, reminiscent of children's playful, brightly colored paper airplanes, direct people up the escalators and out into the open space of the Great Hall of the Terminal.","sculpture (visual work)","Experimental Aviation","steel (alloy)",1994,"Patty Ortiz",DOCA
39245_2,"One hundred and forty airplanes suspended from the ceiling greet travelers as they arrive in Jeppesen Terminal from the train. The planes, reminiscent of children's playful, brightly colored paper airplanes, direct people up the escalators and out into the open space of the Great Hall of the Terminal.","sculpture (visual work)","Experimental Aviation","steel (alloy)",1994,"Patty Ortiz",DOCA
39251,"""Northpark"" is very unique and unlike any other public art project in Denver's collection. Tony Ortega and Maureen Auman presented their concept in response to a request for a writing artist and a visual artist team to facilitate 1350 students in leaving their personal mark in their neighborhood.The artists worked with students in the elementary schools to elicit phrases and drawings, which are sandblasted into existing concrete structures incorporated into the park design. The artist Tony Ortega is bilingual and worked with students in both English and Spanish. The piece is left in the park in both languages.","sculpture (visual work)",Northpark,concrete,2002,"Maureen Auman",DOCA
39257,"The ""Jade Spire"" is a multi-green colored spire which begins as fluted columns at the 5 stepped base, becoming an industrial columned structure about 1/3 of the way up and a spiral pole with an Arabic-style dome at the top. According to the artist, ""The towers reflect the architectural past of the city in totems, stacked with fragments of Victorian, Neo-Classical and Constructivist elements specific to historic Denver.""","sculpture (visual work)","Jade Spire","bronze (metal)",1991,"Kevin Oehler",DOCA
39263,"The 600-foot long mosaic consists of thousands of gray-toned tiles arranged to represent the faces and activities of people important to Colorado - including politicians, farmers, explorers, and activists. The mural was contentious from the beginning because of the inclusion of many controversial historical figures: Black Panthers, labor activists, and Kit Carson (who participated in the genocide of Native Americans). Revelle views the piece as ""an attempt to represent history, not whitewash it.""","mosaics (visual works)","Colorado Panorama: A People's History","ceramic tile",1991,"Barbara Jo Revelle",DOCA
39269,"George Peters' and Melanie Walkers' artworks at the Family Crisis Center enhance the entry areas in such a way as to create a welcoming and calming influence on the children that are brought to the Center. ""Color Wind"" adds colorful icons to the surrounding gated entry in the form of wind vane pennants. These are visible to children approaching the facility from both directions of the corner entry. Instead of formidable gates, they see colorful simple shapes on the fence pillars moving in the wind.","sculpture (visual work)","Color Wind","powder coating",2003,"Melanie Walker",DOCA
39275,"From the artist's proposal,""Leap of Faith"" consists of two, 25 foot towers that stand on each side of the Speer Boulevard entrance. The base of each is painted in bright colors as is the upper most panels. The middle section of cutout figures and designs, evoking roller coaster images, and whimsy are made of brushed stainless steel. Copper cast whirly-gigs and weather vanes also add to the feeling of fancy and fun. They are integrated into the entire design and move frequently with the wind. Ortega's goal was to create a set of very technological, highly systematic and carefully designed towers that show a humorous, bizarre and fun end.","sculpture (visual work)","Leap of Faith",paint,1995,"Patty Ortiz",DOCA
39281,"An eagle on top of the City and County Building, which was painted in 23 karat gold leaf in 1949.","sculpture (visual work)",Eagle,"bronze (metal)",1932,"Nicolosi Nicolosi","City and County of Denver, CO"
39287,"""The Spirit of Togetherness"" is meant to show how we have the responsibility to remind people of a struggle that, today, seems so many have forgotten. The people in the painting are displaying figures from the civil rights movement that have fought and died for our rights to be free. The true power in the piece is not on the visual imagery of some of the greatest African Americans to fight for civil rights, but also the individuals who carry those images. The piece speaks to our civil past, civil present and civil future.","mural paintings (visual works)","The Spirit of Togetherness","acrylic paint",2003,"Yvonne Muinde",DOCA
39293,"""Juntos/Together"" is a 6 foot by 17 foot freestanding wall with a mosaic mural on each side. The mural brings a human element to the Lakewood Dry Gulch Park, depicting groups of people interacting and enjoying the outdoors.","mosaics (visual works)",Juntos/Together,tile,1991,"Tony Ortega",DOCA
39299,"The Denver Office of Cultural Affairs commissioned twelve artists to each do an artwork for one of the Wellington E. Webb Municipal Building's elevator landings. The pieces are intended not only as a physical representation of the various layers of government and city planning but also as geological representation of our location at the entrance to the foot hills. Layer upon layer of geological history is uprooted and exposed as seen as you travel west of Denver on I-70. This visual informed the concept for the artworks in the elevator core. Each artist was asked to create a unique work that represented an important element of Denver and its place on this landscape.","sculpture (visual work)","The Ensemble","wood (plant material)",2003,"Oyedele Oginga",DOCA
39305,"A tall abstract sculpture comprised of two spires set atop each other. The bottom 13 foot spire is composed of 12 1/2 eight-sided blocks, painted with yellow and black diagonal stripes. The top 9 foot spire is composed of painted red metal that looks like an extended Slinky. This is encased by 1 inch wide pieces of thin metal in the shape of X's and squares, forming 8 blocks up the spire. There is a white-domed light on top of the spires. According to the artist, ""The towers reflect the architectural past of the city in totems, stacked with fragments of Victorian, Neo-Classical and Constructivist elements specific to historic Denver.""","sculpture (visual work)","Union Spire",paint,1991,"Kevin Oehler",DOCA
